stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1010O00062C9,,São Luiz Gonzaga,,-22.89995,-43.229544,,,0,,,,
1010O00057C0,,Centro de Tradições Nordestinas - Acesso Luiz Gonzaga,,-22.898528,-43.219336,,,0,,,,
1010O00068C9,,Emancipação,,-22.899786,-43.228369,,,0,,,,
1010O00072C0,,Pedro II,,-22.904485,-43.214703,,,0,,,,
1010O00073C0,,Hermes Fontes,,-22.901864,-43.216433,,,0,,,,
1010O00038C0,,Escola Municipal Marechal Trompowsky,,-22.908374,-43.231002,,,0,,,,
1011O00013C0,,Hospital Municipal Barata Ribeiro,,-22.900272,-43.24078,,,0,,,,
1012O00044C0,,Aloysio Amancio,,-22.89067,-43.24193,,,0,,,,
1012O00009C1,,Santo Antônio,,-22.88533,-43.25221,,,0,,,,
1012O00043C0,,Largo de Benfica,,-22.891622,-43.240485,,,0,,,,
1012O00037C0,,São Luiz Gonzaga,,-22.89406,-43.23986,,,0,,,,
1012O00034C0,,Pereira Lopes,,-22.89443,-43.23866,,,0,,,,
