route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
O0415AAA0A,50758497-feb5-4fdb-aa79-efe1fe3c1dd0,U_REG,Leblon,415,0,0snx
O0415AAN0A,cbd36e2f-bed5-4d7f-9561-aa174e24050e,U_REG,Leblon,SN415,0,jmsv
O0416AAA0A,dfe0f778-a20a-4e7a-a830-0f9171a2b704,U_REG,Horto,416,0,lw11
O0422AAA0A,8273922f-2724-404a-a222-43db93aff639,U_REG,Cosme Velho,422,0,n6im
O0422AAN0A,15f4a55e-eb91-486a-8a99-9d91df39c84a,U_REG,Grajaú,SN422,1,z1hi
O0426AAA0A,8af185f5-51ab-450c-8c31-c75303e8ac49,U_REG,Usina,426,1,tggb
O0432AAA0A,a5db6882-b8ea-40a1-ab7d-d6edc2586fab,U_REG,Vila Isabel,432,1,jsxt
O0433AAA0A,1da8640a-8f80-4402-b49f-2805c7b1d311,U_REG,Siqueira Campos,433,0,zr3e
O0433AAN0A,ef340b05-3f2f-4d2e-a2a5-5aaa50278d8c,U_REG,Siqueira Campos,SN433,0,nnxa
O0435AAA0A,c012eb2d-5614-435f-9f3c-514ed826647a,U_REG,Grajaú,435,1,c2bn
O0439AAA0A,63a2d0ef-f2b3-4bf9-b9c4-7c00ee92f45a,U_REG,Leblon,439,0,zn30
O0443AAA0A,8659b567-1aec-4d84-a07a-03fc9d25b83e,U_REG,Leblon,443,0,uqnq
O0444AAA0A,8664cc49-d754-4ceb-bd9c-3da6a03c8600,U_REG,Jardim de Alah,444,0,0os2
O0448AAA0A,1037785b-758f-46fe-8e90-0c5902a4275f,U_REG,São Conrado,448,0,t61v
O0455AAA0A,7bc4787d-62cf-4498-8f2e-8c8128b47ec7,U_REG,Copacabana,455,0,hsso
O0456AAA0A,ab8e9a45-e54e-4492-895c-7de0c7aee05a,U_REG,Norte Shopping,456,1,O0456AAA0AVDU01
O0457AAA0A,fa3d3899-fd1c-49ef-828d-706516d444d9,U_REG,Copacabana,457,0,wqyu
O0457AAN0A,26f28f9b-9609-4425-9277-83f2aba51cbb,U_REG,Copacabana,SN457,0,01vm
O0460AAA0A,c9347c2f-83aa-4e32-a9c5-5013dc169d54,U_REG,Circular,460,0,xea3
O0461AAA0A,22028010-7651-4fd1-9775-5e8031c83e84,U_REG,Circular,461,0,z76o
O0463AAA0A,bc1cc2c2-1341-4c3c-b2b0-bd3d552ed577,U_REG,São Cristóvão,463,1,1mgq
O0472AAA0A,17d44e4d-8b55-48a6-96e5-0c85e93e3d44,U_REG,Triagem,472,1,l6yr
O0473AAA0A,29ff940b-ad38-4213-bc52-a55f63381f63,U_REG,Lido,473,0,4rlb
